comentario //Joel Solano
salto <br/>
incluir #include
libreria <stdio.h>
salto <br/>
definir #define
variable var_0
salto <br/>
salto <br/>
palabra_reservada union
variable animal
bloque {
salto <br/>
palabra_reservada auto
variable var_1
nula ;
salto <br/>
palabra_reservada const
variable var_2
nula ;
salto <br/>
palabra_reservada extern
tipo_variable int
variable var_3
nula ;
salto <br/>
palabra_reservada register
tipo_variable char
variable var_4
elemento_vector [
entero 10
elemento_vector ]
nula ;
salto <br/>
bloque }
salto <br/>
salto <br/>
palabra_reservada struct
variable person
bloque {
salto <br/>
palabra_reservada short
tipo_variable int
variable var_5
nula ;
salto <br/>
palabra_reservada signed
tipo_variable int
variable var_6
nula ;
salto <br/>
palabra_reservada static
tipo_variable int
variable var_7
nula ;
salto <br/>
palabra_reservada unsigned
variable var_8
nula ;
salto <br/>
palabra_reservada volatile
tipo_variable int
variable var_9
nula ;
salto <br/>
bloque }
nula ;
salto <br/>
salto <br/>
tipo_variable char
variable c
nula ;
salto <br/>
tipo_variable float
variable f
asignacion =
flotante 213.5
salto <br/>
tipo_variable bool
variable var_10
asignacion =
estado true
operador ,
variable var_11
asignacion =
estado false
nula ;
salto <br/>
salto <br/>
tipo_variable int
variable main
funcion (
funcion )
bloque {
salto <br/>
bucle do
bloque {
salto <br/>
bucle for
funcion (
tipo_variable int
variable i
asignacion =
entero 0
nula ;
variable i
operador_comparacion <=
entero 1
nula ;
operador_aritmetico i++
funcion )
bloque {
salto <br/>
entrada_consola cin
operador_bit >>
variable var_4
nula ;
salto <br/>
seleccion switch
funcion (
variable var_7
funcion )
bloque {
salto <br/>
etiqueta case
entero 1
delimitador :
salto <br/>
seleccion if
funcion (
variable var_10
operador_comparacion ==
estado true
funcion )
bloque {
salto <br/>
salto continue
nula ;
salto <br/>
bloque }
seleccion else
seleccion if
funcion (
variable var_11
operador_comparacion >=
estado false
funcion )
bloque {
salto <br/>
salto goto
variable END
nula ;
salto <br/>
bloque }
seleccion else
bloque {
salto <br/>
salto return
entero 0
nula ;
salto <br/>
bloque }
salto <br/>
salto break
nula ;
salto <br/>
etiqueta default
delimitador :
salto <br/>
salida_consola cout
operador_bit >>
variable error
nula ;
salto <br/>
salto break
nula ;
salto <br/>
bloque }
salto <br/>
bloque }
salto <br/>
variable END
delimitador :
salto <br/>
bloque }
bucle while
funcion (
variable var_7
operador_comparacion !=
estado true
funcion )
nula ;
salto <br/>
variable a
asignacion =
variable b
operador_aritmetico +
variable c
nula ;
salto <br/>
variable a
asignacion =
variable b
operador_aritmetico -
variable c
nula ;
salto <br/>
salto return
entero 0
nula ;
salto <br/>
bloque }
